##@ Classroom Vocab

طَيَّب || ṭayyib : good, nice : Also- charming; pleasant; agreeable; tasty. From the root ط ي ب‎ (ṭ-y-b).
مَرْفُوع || marfūʿ : nominative case or indicative mood : Derived from the passive participle of رَفَعَ‎ (rafaʿa, “raise up”): literally, “raised up”.

اَلْمَجْرُورُ || al-maǧrūr : genitive case

مُذَكَّر || muḏakkar : masculine form : not in WK
مُؤَنَّث || muʾannaṯ : feminine form : not in WK

جَمْع || jamʿ : plural word

تَشْكِيل || taškīl : diacritics, vowelization : Verbal noun(of شَكَّلَ‎ (šakkala) (form II) "to hobble (an animal); to vocalize (a text); to become dubious or confused"

حَرَكَة || ḥaraka : vowel (Arabic) : Also "movement, commotion, stirring, physical exercise". From the root ح ر ك‎ (ḥ-r-k); related to the verb حَرَّكَ‎ (ḥarraka), to move, to set in motion.

# root? الخدر
# أَصْل || ʾaṣl : (linguistics) root (“primary lexical unit of a word”)
# جَذْر or جِذْر • (jaḏr or jiḏr) || root, stem, base
الجَذْر || al-jaḏr : root (as in root letter) : MA 1, p. 134
الوَزْن || wazn : noun or verb "shape", pattern or form, transfix : Also "weight; measure; pattern". Verbal noun of وَزَنَ wazana "to weigh"

جُمْلَة || jumla : sentence (grammar) : Also "series, whole range, collectivity"
اِسْمِيَّة || ismīyah : nominal
الجملة الاسمية || jumla ismīyah : the nominal sentence

# ?? ظرف المكان - adverbial of place?
#المَكان || ālmakān : the place

# fil arabia
# yani
# maa man?

# add names for diacritics, parts of speech

# (not used?) كَامِل || kāmil : perfect; complete
# (not used?) زَائِف || zāʾif : false

